ID,text,Sentiment
1,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           - 
         
         
           Story 
           - 
         
                   
             Animation 
             - 
           
           
             Sound 
             -- 
           
                 
           Character 
           - 
         
         
           Enjoyment 
           - 
         
       
     

                    
    First things first. My ""reviews"" system is explained on a blog entry. Which can be found through my profile. 
------ 
 
I'm going to keep this ""review"" more of a opinion of Gintama's overall and then this season specific. 
 
Anyhow. What I have always loved regarding Gintama, is its content of everything. I love the comedy, its absurd, random, can be vile, dirty, sweet, anyhow, everything. Have laughed countless times in this franchise. Also the humor they have also is heavily reference based, a.k.a parodies of different anime, shows, manga, live stuff, real world, anime production and so on. Anyhow, comedy/parody side of this franchise i absolutely love. 
 
Now, -nd side of this show is the serious dramas, epic battle shounens and so on.. There are arcs that are fully comedy, arcs that are fully serious and mixtures of both. Serious side is usually quite dramatic and managed to somewhat tear me up now and then. Whilst the action sequences are absolute bliss as well. They are just presented in a really cool manner. And extra points when sometime the add artistic element. 
 
Of course it has its slice-of-life side and pseudo-romance. Those are weaker side, but ain't the focus. But when sometimes those are the ""focus"", then they are done in enjoyable method. 
 
To sum up overall gintama's, I love the serious side and the silly side. 
 
Art and sound (voice acting/ost/op/ed) is something I loved in all gintamas across the board. They just click with me, bliss to look at, bliss to hear. Music (op/ed) specifically are hyped up and upbeat, which generally I don't like, but gintama is the exception where I love them. Art is cool, sometimes artistic, sometimes simple. It has a bit of everything that makes it enjoyable. And gore is absolutely satisfying as well. (well, the blood to be specific) 
 
Well, the serious side of stories in this anime are superb in my opinion. (or the overall idea of story that moves now and then). But wouldn't say comedic side of series story is any worse.  When at times comedy side has ""story"". It's usually quite enjoyable. 
 
Regarding characters I don't have much to say other than that variety, stereotypes of ""off-stereotypes"" is very large. As well characters with depth but as well with oddity is as well in great selection. Main team. Gintoki the lazy dirty slob with superb second side of seriousness and caring about friends/allies. Shinpachi the poor straight-man-act sidekick, who adds great value to the team. Kagura, the battle race girl that doesn't act like girl almost at all, or in another words a dirty slob girl in a sense. 
----------------- 
 
Now, to this season specific. 
 
I found it a bit disappointing. Mainly because usually in gintama we have overly serious arcs or fully comedic, whilst this one had a bit of mixture of both, which somewhat ruined the experience. Plus the artistic presentation felt this time around a bit lacking. Maybe because of another studio, who knows. But anyhow, it didn't feel as superb. Rather than gintama it felt as watching just another good battle shounen anime in modern day with simplified animation. 
 
I mean it definitely was not any bad, just didn't have the punch Gintama usually has. Might be because it was short series, maybe because it focused too much moving on with story. It'll be shame to see it finalized in this manner. 
 
Rest I pretty much loved as usual in Gintama franchise.

          
 
       Helpful 
   
      ",Positive
2,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           -- 
         
         
           Story 
           -- 
         
                   
             Animation 
             -- 
           
           
             Sound 
             -- 
           
                 
           Character 
           -- 
         
         
           Enjoyment 
           -- 
         
       
     

                    
    Let me start off by saying that Made in Abyss is a series that deserves to be bestowed with the title of a Masterpiece of an anime series. This may sound like I'm placing the series on a pedestal, and you could say that personal bias has influenced by decision to rate MIA a full --/-- for all the components, but please allow me to try my best to break down and pinpoint just exactly why it has earned such a place in my heart.  
 
Beginning with the first episode, which took me by serious surprise when I was left in absolute awe by the mystical vibes exuded by the astounding visuals and the beautiful soundtrack. MIA has one of the best first episodes I have ever seen thus far because unlike other shows where they bombard the audience with a complex plot in a desperate attempt to bait them into watching the rest of the show, MIA does that exact opposite. Instead, we tag along with our protagonist, Riko, and her adventures down into the abyss. Some things occur, and right off the bat, episode one was sufficient to leave me tense at the edge of my seat, yet the premise is simple and digestible enough for me to follow along. And at the end, we are treated with a stunning picturesque overview of the abyss, and that alone was enough to leave me desiring to be transported into their world and explore the abyss along with Riko. They had successfully pulled off their intended effect – to reproduce that sort of charm and mystery of the abyss, something that is so dangerous, slightly sinister, yet people, both the characters in MIA, along with the audience, are drawn to it.  
 
Moving on to the crux of MIA, the plot. The first few episodes mask the true sinister reality of the show and I was tricked into thinking this would be a cute adventure series with Riko and friends, but boy does that completely change in the next few episodes to come. Now don’t get me wrong, being ‘dark’ or ‘deep’ doesn’t necessarily equate to a good compelling story, as plenty of shows that seek to achieve such an effect often go beyond their capacity and all that remains is simply a cringefest of wasted potential. Yet, MIA absolutely nails in its execution. Even in earlier parts where there was a lighter more upbeat tone, the story never got stale and it was just downright entertaining to witness the happenings and adventures of Riko and those around her. And now that I think about it, it wasn’t really the plot itself that was unique or fantastic, rather, it's the perfect pacing and storytelling the series chose to adopt that really sold the show to me. I would go so far as to say that MIA is somewhat like a deconstruction of adventure genres and how behind the excitement and thrill of going on a journey of never return, lies the harsh brutal reality, something that even -- years olds are not immune to, and are in fact more prone to its effects due to their fragility.  
 
I could not have asked for a better two main characters, Riko and Reg. One is an enthusiastic fearless adventurer and the other a shy yet fiercely protective friend. This iconic pair are extremely well written characters that spoke out to me on a profound level, weaving my emotional attachment towards them, and thus cue the tears and heartache when misfortune befell them. The complement and supplement each other in so many ways that it is just really darn endearing to see them interact. And due to spoiler reasons, I shall not delve deep into the third main character that only appears in the later episodes, but she, too, is absolutely precious and I honestly cherish the chemistry and relationships that they foster over the span of the series. Even side characters, including the most minor ones, and even ones that don’t even appear apart from through flashbacks and recollections, are memorable and they have that sense of quirkiness and originality that is in its own way a breath of fresh air after so many reused anime troupes that we have seen time and time again.  
 
Every single Friday for -- weeks, this show was something that I really looked forward to. It was a spectacular journey and one that I am so happy I decided to start. It is absolutely magical and a feast for my eyes as with such a unique art style accompanied with the most detailed backgrounds. Every piece of music matched the scene so well and it was truly a beautiful symphony of sounds, visuals and storytelling. Thank you for reading my review of this Masterpiece and I hope that you will embark on the same journey as me and finish it with the same feelings as I did. :)  


          
 
       Helpful 
   
      ",Positive
3,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           - 
         
         
           Story 
           - 
         
                   
             Animation 
             - 
           
           
             Sound 
             - 
           
                 
           Character 
           - 
         
         
           Enjoyment 
           - 
         
       
     

                    
    Art -/--: It is great, especially the actions during the critical moments in the game. However, it doesn't WOW me like the best in class. 
 
Sound -/--: Very good voice acting, good sound effective during actions, good music that help bring out emotions and some of the op and ed songs are great. However, there is no sound track that are memorable. Can't give it a higher score. 
 
Character -/--: There are many very different characters. Most of them are real and believable. However, most characters are stereotypes and there is not much development. 
 
Story -/--: Overall this is a pretty straight forward plot with some twists. However, the pacing is a bit slow until the last --- episodes.  
 
Enjoyment -/--: Episode -- and -- are amazing --/--. There are other moments that are great.  But outside of those, it was just good, -/--. Overall -. 
 
In my own rating system, a perfect show gets -/--. If a show strikes me hard emotionally or teach me something that change my life, then it goes another +-. This is a -/-- show in my mind. Good overall, I may rewatch some episodes but I won't go out of my way to do it.

          
 
       Helpful 
   
      ",Positive
4,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           - 
         
         
           Story 
           - 
         
                   
             Animation 
             - 
           
           
             Sound 
             -- 
           
                 
           Character 
           -- 
         
         
           Enjoyment 
           - 
         
       
     

                    
    Story 
 
taking place - yr from where season - trailed off i really anticipated this series' return but was a bit disappointed by how everything seemed to restart just the way everything began with geass -. the only difference is that the catching up isnt far off since lelouch already have that military might he didnt have when code geass began. aside from that, i was a bit disappointed with how geass - somewhat deviated itself from geass - in the sense that the focal issue of geass has been resolved within - episodes, leaving some other secrets about it uncovered making the series lose the &quot;essence&quot; of its title. 
 
if geass - was able to brag about something, it would be the world domination schema that would really perk up strategy gamers' interests. alliances and forged, countries are colored red or blue and the world was torn between factions. as a personal fan of strategy games, i considered this plot influence a plus. 
 
 in the end, code geass - reverted to being another gundam series that ends with one massive war and a use of nukes/superweapons and i think that in itself made geass - unimpressive. however, it's overall flow was realistic. technology was discovered to counter an opposing country's technology. the world competed with one another through technology and development and that is another great influence of watching geass in the long run. it makes people realize that this overpowered mech came into realization in order to counter this other mech. 
 
overall, geass have been bluntly a strategic action anime. it could've been better if they involved geass too and put it much in detail but hey. it happened, the season ended and everyone watched. 
 
Art 
 
the art is always good since it came from clamp but some angles would make me remember some SeeD characters such as kira and athrun. well it's all nice though but it's somewhat distracting since you're too much focused in the development of the story itself.  
 
the knightmares themselves were definitely stylish especially this time around. they featured much sleek and glossy coating that made me reminiscient of --. there were also some knightmare designs that seemed to have been copied from Gundam -- but i think that's plausible sincesunrise made both series. 
 
there were also some episodes released with poor quality but regardless, geass - was still fun to watch. 
 
Sound 
 
with nakagawa kotaro responsible for the bgm heard all throughout, there is no way geass wouldn't stand out. the opening songs by orange range and flow were good but the ending theme with ali project is/has that weird, uneasy impact on me. though i did like AP when they did the rozen maiden series, it somehow doesnt fit geass. i also didnt like how the final ep ended in an ali project end. it somehow doesnt feel enough closure like how they decided to end it on s-. that or maybe im requesting too much 
 
Character 
 
there were plenty of characters introduced this season as well as recurring ones. it seemed that every fanbase was influenced by geass such as lolicons, yaois, yuris, incest, and even some other unnamed weird bases. 
 
aside from fanservice issues, im glad to see that a lot of the cast of geass have matured. from the young boy that wanted to make a world for her sister now fights for the rest of the world. the knight that holds his principles have finally decided to throw them away. there were lots of changes, both big and small, yet contributed to the development of the story. there were characters to raged at, to laugh at, to cry at and every last one of them contributed in the enjoyment of geass 
 
Enjoyment 
 
aside from the return of overpowered mechas that does spinkicks and heeldrops, im amused the most on the display of wit and strategy that geass used all throughout. one thing that code geass dsitances itself from its gundam counterparts would be the sheer execution of strategy that does not rely heavily on a single unit's power. while lelouch continued to throw away lives, he made every sacrifice worth it. that virtue itself is something that would interest me in as how flawless strategies are executed and how and individual carries the burden of his choices.  
 
despite being given the power of geass, despite the actions taken and the decisions made, we also see the conflict of a young boy as he turned into a responsible man as he continued to carry the weight of his sins. as his influence grew and the hatred spread and how he finally resolved everything in one go. 
 
if there were some things that season - influenced me with, it must've been the weight of one's sacrifice and the growing up of one simple ideal into another. 
 
the boy who fought for his own happiness in R- now fought for the happiness of the world in R- and that in itself is a good way to close things regarding lelouch's personal issues. 
 
as ive said however, lelouch's issue is over in this series but the issue about CC and geass is not. if there would be an s- it woudl definitely be a new story and a new cast 
 
Overall 
 
it was fun, it was depressing, it brought me to tears and rage and awe and dissatisfaction. even though the beginning was a bit good and the middle was totally off, the end topped it off but it still left most hanging. still, it never ceases to amaze me how much wisdom lelouch has. you can blame it to his experience in R- and the things he experienced in R- but still, the experiences he had cultivated him to make a &quot;Jesus Christ&quot; triumphant plan in the end and that totally impressed me with code geass. 
 
if this is the end of this series then i would surely miss the cast and crew of code geass.  
 
this is a job well done but i wished that they made something along the series to make it better.

          
 
       Helpful 
   
      ",Positive
5,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           -- 
         
         
           Story 
           -- 
         
                   
             Animation 
             - 
           
           
             Sound 
             - 
           
                 
           Character 
           -- 
         
         
           Enjoyment 
           -- 
         
       
     

                    
    Kyoto Animations greatest strength is being able to create amazing characters, and then torturing with Supernatural happenings and in this case also; life itself. It's about friendship, growing up, love and loss.  
 
Everything about this anime is amazing, but if I have to say what is the best part about Clannad: After Story, It's it's characters. 
 
I think everyone would want a Tomoya as a husband, a Nagisa as a wife, an Akio as father-in-law, a Sanae as mother-in-law, Sunohara as your best friend, Mei as a little sister, Ushio as a daughter, Yoshino as a Colleague and in the end; even a Naoyuki as a father.  
 
Tomoya is a huge role model for me, how awful his life might get he still keeps going. He has shown me how huge of a wuss I am. He cries a lot in this anime and I dont think he is less manly for it(Since I cried with him).I really enjoy the types of leads that are sarcastic trolls and gentlemanlike at the same time(Like Yuuichi from Kanon), which can lead to very humorous but also very dramatic moments. 
 
Some people might think the ending makes no sense, and to those people i say(I can't stand them): Pay attention! 
The anime gives hints to what is going to happen, Think of what happens after Tomoya helps Fuko, Kotomi, Yukine and Naoyuki but also the whole ""girl in the illusionary world"" arc. 
In my opinion the ending beautifully ties everything together, with help of the amazing song: ""Chiisana Te No Hira"", which I still cannot listen without getting goosebumps. Which also gives a great ending to the story of the relationship between Tomoya and his dad Naoyuki. 
 
Clannad has changed my look on life for ever, And therefore I give it a --/--, and have reserved the --/-- slot on MAL for the series and only this series, because It's a different level of masterpiece. 
 
I highly reccomend you watch it 
 
 

          
 
       Helpful 
   
      ",Positive
6,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           -- 
         
         
           Story 
           - 
         
                   
             Animation 
             -- 
           
           
             Sound 
             -- 
           
                 
           Character 
           -- 
         
         
           Enjoyment 
           -- 
         
       
     

                    
    When I first saw Code Geass I was like omgzxwtf it's mecha! Being a girl, I never did like mecha animes, but somehow decided to give it a try. And I'm glad that I did, because this anime is simply a masterpiece! 
 
Story: The story was well planned, however it got a little rushed as the series went along. Despite that, the overall story is simply astounding. It got me hooked from the first episode and I finshed both R- and R- in - days. The plot twists and cliffhangers in every episode will leave you wanting much more it's hard to stop watching :D 
 
Art: As expected from CLAMP, the character designs was magnificent. The background and the machines were all drawn in great detail and did not disappoint me.y 
 
Sound: Code Geass BGM was one of the best I've heard. The music really sets the mood, and you would still be listening to the music despite all the action going on! The voice actors were also well chosen. Jun's role as Lelouch was the best I've seen, though I never took much notice of him in Bleach (Yumichika). He really pulls off the different faces of Lelouch through voices alone! C.C.'s voice fits her perfectly too, giving off the mysterious feel. In all, great sound! 
 
Character: I like the way they portray the characters, showing that they do have weaknesses too, and not the IM INVINCIBLE YO mindless thinking. Enough to score for me. 
 
Enjoyment: I really enjoyed Code Geass as it was the first anime that could keep me hooked on it so long and made me think about the themes explored in the story. It really shook my opinion of what justice really is, etc.  
 
Overall: A greeeeeeeeat anime! The mechas are there to help the story proceed, the main theme in this anime is not just fighting, but also shows what goes on people's minds from both sides of the story. A really amazing psychological anime as well! I WILL MISS CODE GEASS D:

          
 
       Helpful 
   
      ",Positive
7,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           - 
         
         
           Story 
           - 
         
                   
             Animation 
             - 
           
           
             Sound 
             - 
           
                 
           Character 
           - 
         
         
           Enjoyment 
           - 
         
       
     

                    
    As someone who loves Studio Ghibli and its movies, I expected to see something incredible and life-changing. However, this movie was kind of a disappointment as I found it hard to remain attentive or just care for the characters or the plot. 
 
Story: -/--. 
I noticed that I am not really interested in adaptations of legends and myths despite my interest in them, as well as cultures of many different cultures, Japan being one of them. It kind of reminds me of Thumbelina (to an extent, although I am fully aware that the Japanese fairy tale is way older than its counterpart from the --th century, please don't get me wrong). It's a story about a mysterious girl so beautiful that even princes were dying to ask for her hand in marriage. However, Kaguya's destiny has nothing to do with ordinary human life, even that of a noble. It's slow and overly complicated, which normally works in other Ghibli movies, but this time these unnecessary complications made this incredibly slow movie hard to watch. This movie is too long for such a short story. 
 
Art: -/--. 
The art style of this movie reminds me of old Japanese engravings, I am sure this is the image the animators and artists were trying to create and they did a great job as it fits the atmosphere of the story perfectly, I have no complaints about it, so let's give this movie's art a - it deserves. 
 
Sound: -/--. 
Shame on me, I forgot what the music in this anime was like so I had to look for it once again. And what can I say, Joe Hisaishi knows exactly what he's doing. Not his best work, but he is very talented and I give him credit for that, knowing what he is capable of. 
 
Character: -/--. 
When you take an ancient simple tale to work with, characters may be rather simple sometimes. It's not a rule, but it is to be expected. They were okay, but, unfortunately, I found it very hard to genuinely care for any of them. However, showing no interest in any of the characters is even worse than disliking them, at least you do feel something when you dislike or even hate a character. They were fine, but that was it. 
 
Enjoyment: -/--. 
I have to admit, I was bored. As much as I love and respect Ghibli and their attempt to turn this story into a decent movie, I failed to like it despite having such high hopes at the beginning, when I was just starting to watch it. 
 
Overall, I believe I should stick to other movies Ghibli has to offer as I enjoy them much more. Maybe this is not my kind of a movie, but this is the second Ghibli film (the first one being Tales from Earthsea, which is not that big of a surprise) I am not going to re-watch. 


          
 
       Helpful 
   
      ",Positive
8,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           - 
         
         
           Story 
           - 
         
                   
             Animation 
             - 
           
           
             Sound 
             - 
           
                 
           Character 
           - 
         
         
           Enjoyment 
           - 
         
       
     

                    
    Code Geass R- is sitting pretty on myanimelist with a score of -.--. The real question is, does it deserve this score? Sort of kinda maybe but not really. 
 
Story -/--  
The first season had a great story which I really enjoyed, but Code Geass R-'s story got so ridiculous at some points (such as that entire Sword of Akasha episode) that I couldn't help myself from laughing. They decided to throw in tons of random characters that are very very skilled at fighting among other things assuming that no one would question why the fuck they weren't helping Japan against the Black Knights in Season -. They topped this clusterfuck of a story off with probably the greatest and most satisfying end to an anime in existence, so that's nice. 
 
Art -/--  
Besides the triangle faces the art style is pretty basic and smooth 
 
Sound -/-- 
This show definitely has some good voice actors, that's including the dub Lelouch. His evil laugh gave me some serious chills. 
 
Enjoyment -/--  
Here is where the clusterfuck of a story is redeemed, the enjoyment factor of this show is strictly a ""dumb fun"" type enjoyment, where as long as you turn your brain off completely, you should be fine. While ""dumb fun"" enjoyment isn't as fulfilling and memorable as the enjoyment you'll get from storytelling masterpieces like Madoka Magica and Death Note, it's still fun in the end. 
 
Overall -/-- 
 
I feel like they tried too hard to appeal to the masses after the success of season -, but it's a good -- episodes nonetheless, and the ending will always be one of my favorites. 
 


          
 
       Helpful 
   
      ",Positive
9,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           -- 
         
         
           Story 
           -- 
         
                   
             Animation 
             - 
           
           
             Sound 
             -- 
           
                 
           Character 
           -- 
         
         
           Enjoyment 
           -- 
         
       
     

                    
    code geass is one of those series that everybody recomends and once you watch it you know why. 
 
Mechas, war, romance, comedy, rivality, unexpected twsits, explotions, mindgames and more mechas! what else do you want!!! xD it totally deserver its place as one of the best animes ever made. 
 
the only aspect i see as a flaw is the art with a -/-- the people seem a little bit deformed or too skinny but once you get use to it is great! 
 
and it has by far the best story i have ever seen you just get hooked to it from the second episode and cant stop until finishing it. 
 
almost perfect serie, recomended to anyone who is a human beeing (nevermind, my dog liked it)

          
 
       Helpful 
   
      ",Positive
10,"
           
         
           
             
           
         
         
           more pics 
         
       
         
       
         
           Overall 
           - 
         
         
           Story 
           - 
         
                   
             Animation 
             - 
           
           
             Sound 
             - 
           
                 
           Character 
           - 
         
         
           Enjoyment 
           - 
         
       
     

                    
    Okay, so I was pleased to see that Clannad actually had a second ""season"" if you'll call it that. Seems like it is more of another series but with the same characters, rather than a continuation of the previous plot. So far, I was enjoying myself up until the story got to be a bit weird, which was around episode -- or so. I mean that fact that Tomoya and Nagisa (main characters) are a couple that has been together for I'd say about - years and we still have yet to see them kiss, not to mention that fact that they get completely embarrassed about just holding hands?  
 
Soon after that, I think the writers of the series kind of wanted to see how far they could take things with the story. It gets very fast-paced, heavy, and somewhat depressing. Honestly I should've stopped watching after episode --. It gets very sad and depressing after episode --. But I applaude the writers for taking a chance like this. You don't see too many anime series end in the way that Clannad After Story did. Try it but be prepared for the unexpected (and Fuko (supporting character) doesn't make her ninja appearances)

          
 
       Helpful 
   
      ",Negative
